Name,FIPS,"% Employment, Unemployed, 2018","Median Household Income, 2018","% Body mass index - Obese, 2018","% Diabetes, 2018"
"90001, Los Angeles, CA",90001,4.4658,39743,31.5364,8.4751
"90002, Los Angeles, CA",90002,4.4977,38863,32.0249,8.6013
"90003, Los Angeles, CA",90003,4.4716,35794,31.9822,8.539
"90004, Los Angeles, CA",90004,4.4844,46518,27.7404,8.8425
"90005, Los Angeles, CA",90005,4.4836,42536,27.0778,8.8529
"90006, Los Angeles, CA",90006,4.4687,33846,29.0179,9.0273
"90007, Los Angeles, CA",90007,4.46,27894,28.9009,7.7759
"90008, Los Angeles, CA",90008,4.4829,52166,33.0084,10.3809
"90010, Los Angeles, CA",90010,4.4647,44690,26.6685,9.191
"90011, Los Angeles, CA",90011,4.4816,34326,31.3232,8.2887
"90012, Los Angeles, CA",90012,4.4651,34531,26.7091,9.1892
"90013, Los Angeles, CA",90013,4.4812,26306,29.5611,9.5658
"90014, Los Angeles, CA",90014,4.4941,26760,29.6137,9.1887
"90015, Los Angeles, CA",90015,4.4754,32366,29.1528,8.7681
"90016, Los Angeles, CA",90016,4.4886,47888,31.7353,9.3662
"90017, Los Angeles, CA",90017,4.4749,27370,29.144,8.3088
"90018, Los Angeles, CA",90018,4.4717,44396,31.4727,9.444
"90019, Los Angeles, CA",90019,4.4883,52756,29.6814,9.2358
"90020, Los Angeles, CA",90020,4.4723,49273,25.8349,8.574
"90021, Los Angeles, CA",90021,4.5699,18750,30.8597,9.6034
"90022, Los Angeles, CA",90022,4.4739,43087,30.443,9.0349
"90023, Los Angeles, CA",90023,4.489,40172,30.6806,8.7839
"90024, Los Angeles, CA",90024,4.4837,76795,26.4206,7.4274
"90025, Los Angeles, CA",90025,4.4687,93710,27.0529,8.0611
"90026, Los Angeles, CA",90026,4.4639,55466,28.2425,8.5659
"90027, Los Angeles, CA",90027,4.4595,61549,28.092,9.0201
"90028, Los Angeles, CA",90028,4.4645,38697,28.9829,8.4166
"90029, Los Angeles, CA",90029,4.4747,42566,28.7816,9.1248
"90031, Los Angeles, CA",90031,4.4599,40350,27.9356,9.4435
"90032, Los Angeles, CA",90032,4.4986,55107,29.1832,9.1228
"90033, Los Angeles, CA",90033,4.4801,32845,30.2509,9.1614
"90034, Los Angeles, CA",90034,4.4882,71806,27.9466,7.8444
"90035, Los Angeles, CA",90035,4.4523,89833,28.6164,9.0128
"90036, Los Angeles, CA",90036,4.462,93085,27.2572,7.7552
"90037, Los Angeles, CA",90037,4.4834,33030,31.8862,8.7348
"90038, Los Angeles, CA",90038,4.4855,43425,29.4345,8.4622
"90039, Los Angeles, CA",90039,4.4852,78716,27.7609,9.1556
"90040, Los Angeles, CA",90040,4.467,61962,30.0275,9.1977
"90041, Los Angeles, CA",90041,4.4773,81856,27.0343,9.4615
"90042, Los Angeles, CA",90042,4.4765,61343,28.8989,8.7504
"90043, Los Angeles, CA",90043,4.4818,56293,33.024,10.1939
"90044, Los Angeles, CA",90044,4.4809,35744,32.4363,9.0245
"90045, Los Angeles, CA",90045,4.4806,104281,28.3158,8.5545
"90046, Los Angeles, CA",90046,4.4857,71292,28.377,8.6097
"90047, Los Angeles, CA",90047,4.4806,57346,33.0883,9.9908
"90048, Los Angeles, CA",90048,4.5051,96754,27.9816,8.8322
"90049, Los Angeles, CA",90049,4.484,146176,27.6498,9.3751
"90056, Los Angeles, CA",90056,4.478,115716,32.2608,11.0306
"90057, Los Angeles, CA",90057,4.4864,31640,28.6125,8.8885
"90058, Los Angeles, CA",90058,4.5203,20170,30.9476,8.8608
"90059, Los Angeles, CA",90059,4.4893,38128,32.3776,8.7234
"90061, Los Angeles, CA",90061,4.4688,44244,32.4137,8.9858
"90062, Los Angeles, CA",90062,4.4719,41387,32.3464,9.3514
"90063, Los Angeles, CA",90063,4.4833,42870,30.5932,8.9207
"90064, Los Angeles, CA",90064,4.4501,106689,27.2697,9.3914
"90065, Los Angeles, CA",90065,4.4823,66487,28.4676,9.1501
"90066, Los Angeles, CA",90066,4.4688,85347,27.9931,8.7604
"90067, Los Angeles, CA",90067,4.4464,108505,27.5221,12.979
"90068, Los Angeles, CA",90068,4.484,93550,28.2686,8.3647
"90069, West Hollywood, CA",90069,4.4869,99643,28.1712,8.6005
"90071, Los Angeles, CA",90071,4.5977,28548,24.2005,12.3726
"90073, Los Angeles, CA",90073,5.2083,35000,28.942,7.6014
"90077, Los Angeles, CA",90077,4.4583,239076,27.5181,10.3129
"90079, Los Angeles, CA",90079,0,87500,28.6875,5.3125
"90089, Los Angeles, CA",90089,0,0,0,0
"90090, Dodgertown, CA",90090,0,0,0,0
"90094, Los Angeles, CA",90094,4.5003,95692,27.1414,6.9869
"90095, Los Angeles, CA",90095,0,0,0,0
"90201, Bell, CA",90201,4.4755,43181,30.6876,8.4277
"90210, Beverly Hills, CA",90210,4.4849,180253,28.0521,10.7079
"90211, Beverly Hills, CA",90211,4.4804,95009,27.8363,9.5331
"90212, Beverly Hills, CA",90212,4.4823,99635,27.9172,9.4885
"90220, Compton, CA",90220,4.472,54944,32.1761,9.1062
"90221, Compton, CA",90221,4.4807,49993,31.8288,8.5173
"90222, Compton, CA",90222,4.5085,46330,31.9828,8.8348
"90230, Culver City, CA",90230,4.4859,88105,28.388,9.4704
"90232, Culver City, CA",90232,4.4875,93436,27.9714,8.844
"90240, Downey, CA",90240,4.4448,85287,28.9067,9.17
"90241, Downey, CA",90241,4.4841,67037,29.4249,8.9563
"90242, Downey, CA",90242,4.4811,66279,29.5322,8.6613
"90245, El Segundo, CA",90245,4.4823,110504,28.002,8.7715
"90247, Gardena, CA",90247,4.4687,57094,28.2451,9.6292
"90248, Gardena, CA",90248,4.4513,65244,28.1935,10.1983
"90249, Gardena, CA",90249,4.4842,72442,29.5548,9.573
"90250, Hawthorne, CA",90250,4.4928,58243,30.4191,8.6438
"90254, Hermosa Beach, CA",90254,4.4888,124363,27.9615,8.0189
"90255, Huntington Park, CA",90255,4.486,42694,30.5469,8.6378
"90260, Lawndale, CA",90260,4.4891,63970,29.1507,8.57
"90262, Lynwood, CA",90262,4.4794,50747,31.2702,8.3474
"90263, Malibu, CA",90263,0,0,0,0
"90265, Malibu, CA",90265,4.4585,171808,28.0747,9.5079
"90266, Manhattan Beach, CA",90266,4.5064,170016,27.6958,9.2255
"90270, Maywood, CA",90270,4.4954,40660,30.6824,8.3805
"90272, Pacific Palisades, CA",90272,4.4781,189567,27.9352,10.8117
"90274, Palos Verdes Peninsula, CA",90274,4.4769,189821,26.75,11.337
"90275, Rancho Palos Verdes, CA",90275,4.4683,153042,26.2898,10.9532
"90277, Redondo Beach, CA",90277,4.4668,119748,27.7861,9.0946
"90278, Redondo Beach, CA",90278,4.4872,131144,27.4969,8.5204
"90280, South Gate, CA",90280,4.4748,49586,30.66,8.6484
"90290, Topanga, CA",90290,4.4974,156034,28.2569,9.7225
"90291, Venice, CA",90291,4.4563,93332,28.613,8.0478
"90292, Marina Del Rey, CA",90292,4.4725,128020,27.811,8.6676
"90293, Playa Del Rey, CA",90293,4.4691,117133,27.8848,8.5763
"90301, Inglewood, CA",90301,4.4882,50950,31.6867,9.0957
"90302, Inglewood, CA",90302,4.4777,52986,32.3344,8.8923
"90303, Inglewood, CA",90303,4.478,57817,32.1484,9.086
"90304, Inglewood, CA",90304,4.4724,40575,31.0589,8.5207
"90305, Inglewood, CA",90305,4.4937,87115,33.2402,10.475
"90401, Santa Monica, CA",90401,4.4689,69681,28.0751,8.8172
"90402, Santa Monica, CA",90402,4.473,180680,27.8472,10.5805
"90403, Santa Monica, CA",90403,4.4637,100240,27.9404,9.2313
"90404, Santa Monica, CA",90404,4.487,78639,28.3484,8.8268
"90405, Santa Monica, CA",90405,4.4647,98466,28.1183,9.0287
"90501, Torrance, CA",90501,4.4868,72294,27.5441,8.9027
"90502, Torrance, CA",90502,4.4854,77643,26.867,9.7032
"90503, Torrance, CA",90503,4.4852,99747,25.6492,9.568
"90504, Torrance, CA",90504,4.4542,92129,25.9491,9.6031
"90505, Torrance, CA",90505,4.4668,107686,26.1568,9.9314
"90506, Torrance, CA",90506,0,0,0,0
"90601, Whittier, CA",90601,4.4693,82592,29.0742,9.0034
"90602, Whittier, CA",90602,4.4623,59651,29.5414,8.8693
"90603, Whittier, CA",90603,4.4794,107755,28.4671,9.5329
"90604, Whittier, CA",90604,4.4908,80633,29.0916,8.8551
"90605, Whittier, CA",90605,4.5008,80162,29.4863,8.7069
"90606, Whittier, CA",90606,4.4841,70593,29.8304,9.0929
"90631, La Habra, CA",90631,3.4705,83273,28.4766,9.152
"90638, La Mirada, CA",90638,4.4831,98939,27.5073,9.3417
"90640, Montebello, CA",90640,4.482,59767,28.8704,9.5465
"90650, Norwalk, CA",90650,4.4716,73450,28.813,8.8549
"90660, Pico Rivera, CA",90660,4.4601,66993,29.7591,9.3008
"90670, Santa Fe Springs, CA",90670,4.511,65398,29.4955,9.6958
"90701, Artesia, CA",90701,4.4974,78069,26.466,9.475
"90703, Cerritos, CA",90703,4.4753,114808,24.3585,10.1062
"90704, Avalon, CA",90704,4.4546,66066,29.6809,9.2672
"90706, Bellflower, CA",90706,4.4811,62486,29.3207,8.8284
"90710, Harbor City, CA",90710,4.5021,68605,28.5811,9.3779
"90712, Lakewood, CA",90712,4.4756,96029,28.1509,9.1683
"90713, Lakewood, CA",90713,4.4835,108421,28.05,9.0587
"90715, Lakewood, CA",90715,4.4795,86013,27.2325,8.7311
"90716, Hawaiian Gardens, CA",90716,4.4821,55280,29.1268,8.6541
"90717, Lomita, CA",90717,4.4812,77308,28.1265,9.3913
"90723, Paramount, CA",90723,4.4666,52109,30.581,8.4566
"90731, San Pedro, CA",90731,4.4723,63135,29.434,9.1508
"90732, San Pedro, CA",90732,4.4643,108070,28.2347,10.2186
"90744, Wilmington, CA",90744,4.4763,47415,30.3773,8.6657
"90745, Carson, CA",90745,4.4817,85708,26.5652,9.5371
"90746, Carson, CA",90746,4.4704,108651,31.3907,9.9772
"90747, Carson, CA",90747,0,0,0,0
"90755, Signal Hill, CA",90755,4.4998,76712,28.4024,8.5839
"90802, Long Beach, CA",90802,4.4781,53333,29.4453,8.4433
"90803, Long Beach, CA",90803,4.477,93328,28.3627,9.2817
"90804, Long Beach, CA",90804,4.4847,52928,28.9188,8.0597
"90805, Long Beach, CA",90805,4.4939,55435,29.8403,8.5645
"90806, Long Beach, CA",90806,4.4614,55221,29.017,8.7668
"90807, Long Beach, CA",90807,4.4862,90354,28.3663,9.3246
"90808, Long Beach, CA",90808,4.4736,115418,28.0502,9.4459
"90810, Long Beach, CA",90810,4.497,64499,28.1709,9.2082
"90813, Long Beach, CA",90813,4.4756,35509,29.6653,8.4973
"90814, Long Beach, CA",90814,4.4853,69678,28.7681,8.4455
"90815, Long Beach, CA",90815,4.4825,107617,27.8008,8.9177
"90822, Long Beach, CA",90822,0,0,0,0
"90831, Long Beach, CA",90831,0,0,0,0
"91001, Altadena, CA",91001,4.4899,109342,30.0101,9.7551
"91006, Arcadia, CA",91006,4.501,109786,24.6442,9.8706
"91007, Arcadia, CA",91007,4.4818,93900,24.3381,10.1099
"91008, Duarte, CA",91008,4.3977,121071,26.8544,11.4426
"91010, Duarte, CA",91010,4.4661,72084,28.6447,9.7573
"91011, La Canada Flintridge, CA",91011,4.4954,193260,26.3812,10.3007
"91016, Monrovia, CA",91016,4.4875,84755,28.473,9.2247
"91020, Montrose, CA",91020,4.5052,88437,26.7661,9.2621
"91024, Sierra Madre, CA",91024,4.4975,115689,27.9013,10.26
"91030, South Pasadena, CA",91030,4.483,106818,26.3357,9.2468
"91040, Sunland, CA",91040,4.4766,90170,28.3752,9.78
"91042, Tujunga, CA",91042,4.4636,78222,28.4025,9.4849
"91046, Verdugo City, CA",91046,4.5082,62500,27.8436,11.628
"91101, Pasadena, CA",91101,4.4822,69738,27.3759,8.2684
"91103, Pasadena, CA",91103,4.5121,69122,29.9997,9.3458
"91104, Pasadena, CA",91104,4.4866,83956,29.1043,9.29
"91105, Pasadena, CA",91105,4.4826,134644,27.4838,10.3577
"91106, Pasadena, CA",91106,4.4866,87946,27.4374,8.3917
"91107, Pasadena, CA",91107,4.4723,103541,27.4111,9.5221
"91108, San Marino, CA",91108,4.4602,182108,24.2256,10.4385
"91201, Glendale, CA",91201,4.4522,63388,28.4134,9.6872
"91202, Glendale, CA",91202,4.4681,86184,27.4781,9.7385
"91203, Glendale, CA",91203,4.4917,56177,27.9226,9.5464
"91204, Glendale, CA",91204,4.458,49450,28.0239,9.4918
"91205, Glendale, CA",91205,4.4791,49993,28.1375,9.7226
"91206, Glendale, CA",91206,4.4843,77711,27.4103,9.9733
"91207, Glendale, CA",91207,4.4635,112175,27.6656,10.2024
"91208, Glendale, CA",91208,4.4637,121037,27.3943,10.0339
"91210, Glendale, CA",91210,4.3046,42317,27.3316,10.1533
"91214, La Crescenta, CA",91214,4.4825,114759,26.5417,9.6493
"91301, Agoura Hills, CA",91301,4.4573,141468,28.007,9.5079
"91302, Calabasas, CA",91302,4.4777,170168,27.8656,9.7143
"91303, Canoga Park, CA",91303,4.4862,62198,28.961,8.0523
"91304, Canoga Park, CA",91304,4.4824,74000,28.4325,9.1065
"91306, Winnetka, CA",91306,4.4678,73013,28.2754,8.8931
"91307, West Hills, CA",91307,4.4595,117194,27.7167,10.0025
"91311, Chatsworth, CA",91311,4.4827,102896,27.7039,9.7885
"91316, Encino, CA",91316,4.4819,76132,28.5379,9.9598
"91321, Newhall, CA",91321,4.4512,73204,28.8611,8.9045
"91324, Northridge, CA",91324,4.498,77048,28.0097,9.1758
"91325, Northridge, CA",91325,4.4808,75340,28.0837,8.7428
"91326, Porter Ranch, CA",91326,4.4736,125943,26.4209,9.8451
"91330, Northridge, CA",91330,0,0,0,0
"91331, Pacoima, CA",91331,4.4915,57636,30.2324,8.6254
"91335, Reseda, CA",91335,4.4786,65774,28.762,9.1002
"91340, San Fernando, CA",91340,4.4878,59562,30.3845,8.7112
"91342, Sylmar, CA",91342,4.4825,72797,29.7702,8.7251
"91343, North Hills, CA",91343,4.4687,68096,28.6691,8.7077
"91344, Granada Hills, CA",91344,4.4742,96743,27.6562,9.671
"91345, Mission Hills, CA",91345,4.4762,72479,28.9787,9.3849
"91350, Santa Clarita, CA",91350,4.47,128281,28.0347,8.5736
"91351, Canyon Country, CA",91351,4.4836,91572,28.8016,8.4649
"91352, Sun Valley, CA",91352,4.4866,57557,29.6171,8.9038
"91354, Valencia, CA",91354,4.4742,129768,27.3465,8.2793
"91355, Valencia, CA",91355,4.4794,117775,27.8839,9.0089
"91356, Tarzana, CA",91356,4.485,89958,28.5277,9.9486
"91361, Westlake Village, CA",91361,4.3549,127909,28.0818,10.7305
"91362, Thousand Oaks, CA",91362,4.306,132272,27.9796,9.7337
"91364, Woodland Hills, CA",91364,4.4838,123307,28.175,9.9436
"91367, Woodland Hills, CA",91367,4.4857,96321,27.8729,9.5332
"91371, Woodland Hills, CA",91371,0,0,0,0
"91381, Stevenson Ranch, CA",91381,4.4798,148762,26.723,8.1219
"91384, Castaic, CA",91384,4.4815,133353,28.4275,7.3532
"91387, Canyon Country, CA",91387,4.4871,100345,28.5737,8.2309
"91390, Santa Clarita, CA",91390,4.5066,141294,28.1152,8.6621
"91401, Van Nuys, CA",91401,4.4804,61154,29.2354,8.9714
"91402, Panorama City, CA",91402,4.4872,45049,29.2333,8.5733
"91403, Sherman Oaks, CA",91403,4.4628,98236,28.2442,8.9907
"91405, Van Nuys, CA",91405,4.4765,45873,29.496,8.8999
"91406, Van Nuys, CA",91406,4.4646,61985,29.2037,8.6392
"91411, Van Nuys, CA",91411,4.4677,60721,29.2503,8.3852
"91423, Sherman Oaks, CA",91423,4.4728,93685,28.3914,8.8561
"91436, Encino, CA",91436,4.4861,166471,27.9846,10.7019
"91501, Burbank, CA",91501,4.4879,82963,27.8995,9.1324
"91502, Burbank, CA",91502,4.458,53017,28.4957,9.4109
"91504, Burbank, CA",91504,4.504,92204,27.8991,9.1775
"91505, Burbank, CA",91505,4.4788,94753,28.0749,8.8791
"91506, Burbank, CA",91506,4.491,93653,28.0824,9.4237
"91601, North Hollywood, CA",91601,4.4845,62219,29.2025,7.9546
"91602, North Hollywood, CA",91602,4.4794,88986,28.4039,8.186
"91604, Studio City, CA",91604,4.4856,112732,28.111,8.846
"91605, North Hollywood, CA",91605,4.4947,52750,29.455,8.8047
"91606, North Hollywood, CA",91606,4.4848,52222,29.6215,8.9973
"91607, Valley Village, CA",91607,4.47,75945,28.7622,8.8256
"91608, Universal City, CA",91608,0,0,0,0
"91702, Azusa, CA",91702,4.4872,71290,29.0373,8.3928
"91706, Baldwin Park, CA",91706,4.4722,60996,28.9174,8.7955
"91711, Claremont, CA",91711,4.4866,98312,27.8636,9.4149
"91722, Covina, CA",91722,4.4852,82018,28.737,8.8408
"91723, Covina, CA",91723,4.4624,70724,28.7488,8.9531
"91724, Covina, CA",91724,4.4888,92961,28.1871,9.4215
"91731, El Monte, CA",91731,4.4433,49871,27.5206,9.4087
"91732, El Monte, CA",91732,4.4881,53916,27.7974,8.9325
"91733, South El Monte, CA",91733,4.4829,50770,28.4889,8.7671
"91740, Glendora, CA",91740,4.4904,87224,28.4745,9.3512
"91741, Glendora, CA",91741,4.4883,103315,28.1675,9.632
"91744, La Puente, CA",91744,4.4744,68005,29.3033,8.76
"91745, Hacienda Heights, CA",91745,4.4776,94053,26.1232,9.7395
"91746, La Puente, CA",91746,4.4816,68125,29.356,9.0544
"91748, Rowland Heights, CA",91748,4.4845,79450,24.5741,9.5882
"91750, La Verne, CA",91750,4.4967,96475,28.3489,10.0348
"91754, Monterey Park, CA",91754,4.4577,71632,24.2279,10.4033
"91755, Monterey Park, CA",91755,4.4877,71184,23.3859,10.3277
"91759, Mt Baldy, CA",91759,4.6083,94000,27.951,10.1078
"91765, Diamond Bar, CA",91765,4.4878,117948,24.9371,9.2732
"91766, Pomona, CA",91766,4.5022,60828,29.2203,8.4845
"91767, Pomona, CA",91767,4.4853,59354,29.6532,8.8584
"91768, Pomona, CA",91768,4.4927,58515,29.5285,8.2458
"91770, Rosemead, CA",91770,4.4607,62819,24.6976,9.752
"91773, San Dimas, CA",91773,4.4739,100992,28.1416,9.8423
"91775, San Gabriel, CA",91775,4.472,105956,25.196,9.7056
"91776, San Gabriel, CA",91776,4.4809,65744,24.3204,9.5683
"91780, Temple City, CA",91780,4.4733,81777,24.8225,9.9267
"91789, Walnut, CA",91789,4.474,118814,24.2244,9.6418
"91790, West Covina, CA",91790,4.455,78156,28.2277,9.163
"91791, West Covina, CA",91791,4.4641,93242,27.4887,9.5503
"91792, West Covina, CA",91792,4.4549,86683,26.3242,9.0373
"91801, Alhambra, CA",91801,4.4713,68171,24.9162,9.5307
"91803, Alhambra, CA",91803,4.4732,71449,25.2805,9.824
"93243, Lebec, CA",93243,8.4538,55973,28.9934,10.6665
"93510, Acton, CA",93510,4.4837,112469,28.799,9.8312
"93532, Lake Hughes, CA",93532,4.4743,90000,28.8844,9.3552
