geoid,name,B19301001,"B19301001, Error"
05000US06037,"Los Angeles County, CA",30798,130
86000US90001,90001,11882,484
86000US90002,90002,11807,577
86000US90003,90003,11305,463
86000US90004,90004,30590,1638
86000US90005,90005,21566,1137
86000US90006,90006,15314,524
86000US90007,90007,13013,1596
86000US90008,90008,28926,2109
86000US90010,90010,36598,5507
86000US90011,90011,10887,270
86000US90012,90012,24502,1669
86000US90013,90013,37228,6391
86000US90014,90014,46026,6246
86000US90015,90015,31423,5588
86000US90016,90016,23410,1345
86000US90017,90017,21874,1696
86000US90018,90018,18577,932
86000US90019,90019,30842,1788
86000US90020,90020,28351,2060
86000US90021,90021,30598,7394
86000US90022,90022,14895,612
86000US90023,90023,13689,601
86000US90024,90024,42697,2615
86000US90025,90025,50487,2488
86000US90026,90026,32107,1415
86000US90027,90027,46196,2162
86000US90028,90028,32587,2257
86000US90029,90029,22103,1208
86000US90031,90031,18906,1169
86000US90032,90032,19476,776
86000US90033,90033,13332,752
86000US90034,90034,42477,2133
86000US90035,90035,51296,2847
86000US90036,90036,53842,3038
86000US90037,90037,12433,516
86000US90038,90038,24758,1589
86000US90039,90039,45616,3472
86000US90040,90040,16510,1059
86000US90041,90041,35817,2613
86000US90042,90042,25401,1014
86000US90043,90043,27437,1736
86000US90044,90044,14430,481
86000US90045,90045,48661,2491
86000US90046,90046,63973,3734
86000US90047,90047,21712,1150
86000US90048,90048,70123,5238
86000US90049,90049,99599,5544
86000US90056,90056,54647,6038
86000US90057,90057,15492,602
86000US90058,90058,9429,1682
86000US90059,90059,12208,683
86000US90061,90061,14215,810
86000US90062,90062,17269,1451
86000US90063,90063,16107,894
86000US90064,90064,61983,4008
86000US90065,90065,28540,1449
86000US90066,90066,45168,1597
86000US90067,90067,148638,35086
86000US90068,90068,81674,5910
86000US90069,90069,82735,7105
86000US90071,90071,0,0
86000US90073,90073,11695,2031
86000US90077,90077,110727,15431
86000US90079,90079,0,0
86000US90089,90089,6764,5414
86000US90090,90090,0,0
86000US90094,90094,82803,9466
86000US90095,90095,0,0
86000US90201,90201,12721,344
86000US90210,90210,111084,9878
86000US90211,90211,61991,7521
86000US90212,90212,73331,9300
86000US90220,90220,17800,837
86000US90221,90221,14049,640
86000US90222,90222,13813,782
86000US90230,90230,42370,2034
86000US90232,90232,50533,3510
86000US90240,90240,30648,2166
86000US90241,90241,25576,1465
86000US90242,90242,22651,1046
86000US90245,90245,48205,3419
86000US90247,90247,22287,1334
86000US90248,90248,27571,2603
86000US90249,90249,25783,1682
86000US90250,90250,23118,687
86000US90254,90254,88305,5422
86000US90255,90255,13886,513
86000US90260,90260,23261,1104
86000US90262,90262,14528,738
86000US90263,90263,13605,3583
86000US90265,90265,103495,10423
86000US90266,90266,89867,5101
86000US90270,90270,13319,677
86000US90272,90272,124168,8600
86000US90274,90274,81257,4175
86000US90275,90275,60938,2861
86000US90277,90277,63222,3491
86000US90278,90278,51917,2744
86000US90280,90280,15898,523
86000US90290,90290,56822,8578
86000US90291,90291,71411,4882
86000US90292,90292,77900,7252
86000US90293,90293,75278,6500
86000US90301,90301,18999,1347
86000US90302,90302,22542,1386
86000US90303,90303,18870,1117
86000US90304,90304,14737,928
86000US90305,90305,35079,2964
86000US90401,90401,71115,10053
86000US90402,90402,114433,13337
86000US90403,90403,71028,5353
86000US90404,90404,45565,3758
86000US90405,90405,65836,5108
86000US90501,90501,28321,1397
86000US90502,90502,28733,2119
86000US90503,90503,40259,1434
86000US90504,90504,35553,1865
86000US90505,90505,46691,2445
86000US90506,90506,0,0
86000US90601,90601,31195,1663
86000US90602,90602,21818,1415
86000US90603,90603,33952,1588
86000US90604,90604,24707,1111
86000US90605,90605,23945,1215
86000US90606,90606,23052,1092
86000US90623,90623,37951,3736
86000US90630,90630,35963,1052
86000US90631,90631,31910,1498
86000US90638,90638,30777,1083
86000US90640,90640,22313,1023
86000US90650,90650,21066,650
86000US90660,90660,21055,731
86000US90670,90670,24827,1893
86000US90701,90701,22833,1227
86000US90703,90703,37619,1306
86000US90704,90704,30825,8443
86000US90706,90706,22780,918
86000US90710,90710,24964,1255
86000US90712,90712,32656,1253
86000US90713,90713,34990,1789
86000US90715,90715,26219,1670
86000US90716,90716,14295,1209
86000US90717,90717,33095,1960
86000US90723,90723,16601,737
86000US90731,90731,27417,1383
86000US90732,90732,44696,2840
86000US90740,90740,51749,3258
86000US90744,90744,16215,723
86000US90745,90745,24729,1002
86000US90746,90746,30941,1959
86000US90747,90747,0,0
86000US90755,90755,36207,3561
86000US90802,90802,35996,2171
86000US90803,90803,64467,3991
86000US90804,90804,24806,1627
86000US90805,90805,18614,745
86000US90806,90806,19808,912
86000US90807,90807,39844,2339
86000US90808,90808,46047,2017
86000US90810,90810,18685,945
86000US90813,90813,14084,623
86000US90814,90814,42969,2847
86000US90815,90815,39219,1649
86000US90822,90822,24363,16064
86000US90831,90831,0,0
86000US91001,91001,43263,2529
86000US91006,91006,42897,2430
86000US91007,91007,38155,2213
86000US91008,91008,70964,13468
86000US91010,91010,28598,2611
86000US91011,91011,77981,5868
86000US91016,91016,34909,1773
86000US91020,91020,32618,3863
86000US91024,91024,55040,4962
86000US91030,91030,54042,2719
86000US91040,91040,35561,2657
86000US91042,91042,27827,1560
86000US91046,91046,25336,16695
86000US91101,91101,41277,2905
86000US91103,91103,35756,3120
86000US91104,91104,34747,1619
86000US91105,91105,73104,6814
86000US91106,91106,49974,4001
86000US91107,91107,49868,2437
86000US91108,91108,78504,9377
86000US91201,91201,31416,2598
86000US91202,91202,36366,2497
86000US91203,91203,28105,2591
86000US91204,91204,21493,1471
86000US91205,91205,23334,1116
86000US91206,91206,33560,2165
86000US91207,91207,53320,6733
86000US91208,91208,49555,4357
86000US91210,91210,70039,40385
86000US91214,91214,40669,1968
86000US91301,91301,56207,4860
86000US91302,91302,73059,6267
86000US91303,91303,21929,1178
86000US91304,91304,28671,1269
86000US91306,91306,25388,1048
86000US91307,91307,45085,2071
86000US91311,91311,40323,2032
86000US91316,91316,42557,3076
86000US91321,91321,30797,1692
86000US91324,91324,32160,1704
86000US91325,91325,32673,1690
86000US91326,91326,47326,2427
86000US91330,91330,5496,1127
86000US91331,91331,17150,595
86000US91335,91335,24350,893
86000US91340,91340,17682,884
86000US91342,91342,22402,618
86000US91343,91343,23308,1168
86000US91344,91344,36853,1664
86000US91345,91345,24210,1314
86000US91350,91350,37680,1501
86000US91351,91351,29051,1313
86000US91352,91352,19165,833
86000US91354,91354,45823,2096
86000US91355,91355,42617,1688
86000US91356,91356,47676,2936
86000US91361,91361,73512,4874
86000US91362,91362,57142,2914
86000US91364,91364,55162,3211
86000US91367,91367,48408,2424
86000US91371,91371,0,0
86000US91381,91381,53662,4455
86000US91384,91384,30645,1224
86000US91387,91387,33616,1302
86000US91390,91390,40999,2101
86000US91401,91401,29688,1495
86000US91402,91402,16371,600
86000US91403,91403,64854,3915
86000US91405,91405,19811,940
86000US91406,91406,24247,1052
86000US91411,91411,29133,1961
86000US91423,91423,61145,3495
86000US91436,91436,89841,8311
86000US91501,91501,33965,2462
86000US91502,91502,27460,2750
86000US91504,91504,37820,2200
86000US91505,91505,41386,1987
86000US91506,91506,40848,2804
86000US91601,91601,30944,1593
86000US91602,91602,54748,3955
86000US91604,91604,72338,4435
86000US91605,91605,19286,1059
86000US91606,91606,22619,1244
86000US91607,91607,40920,2665
86000US91608,91608,0,0
86000US91702,91702,19440,520
86000US91706,91706,17717,581
86000US91711,91711,42252,2093
86000US91722,91722,24279,1046
86000US91723,91723,25839,1695
86000US91724,91724,31594,1412
86000US91731,91731,15290,1201
86000US91732,91732,17169,732
86000US91733,91733,15338,631
86000US91740,91740,30471,1662
86000US91741,91741,43306,2760
86000US91744,91744,17824,448
86000US91745,91745,31787,1277
86000US91746,91746,18286,704
86000US91748,91748,26895,1199
86000US91750,91750,38605,2005
86000US91754,91754,28466,1528
86000US91755,91755,25272,1536
86000US91759,91759,37324,6633
86000US91765,91765,36864,1764
86000US91766,91766,18149,852
86000US91767,91767,20770,963
86000US91768,91768,16426,1099
86000US91770,91770,19373,695
86000US91773,91773,35016,1572
86000US91775,91775,35010,1875
86000US91776,91776,22047,978
86000US91780,91780,28093,1302
86000US91789,91789,35797,1347
86000US91790,91790,25115,950
86000US91791,91791,30416,1462
86000US91792,91792,26240,1081
86000US91801,91801,27681,1322
86000US91803,91803,26845,1523
86000US92397,92397,33339,5867
86000US93225,93225,20532,3865
86000US93243,93243,19419,5672
86000US93252,93252,11457,2342
86000US93510,93510,39035,3780
86000US93532,93532,28812,5306
86000US93534,93534,17738,759
86000US93535,93535,16417,741
86000US93536,93536,26408,961
86000US93543,93543,17983,2508
86000US93544,93544,28515,8784
86000US93550,93550,15557,558
86000US93551,93551,33704,1411
86000US93552,93552,17824,1662
86000US93553,93553,34350,8003
86000US93560,93560,23647,1908
86000US93563,93563,30861,8542
86000US93591,93591,14708,1811
