geoid,name,B19013001,"B19013001, Error"
14000US06037101110,"Census Tract 1011.10, Los Angeles, CA",51209,9717
14000US06037101122,"Census Tract 1011.22, Los Angeles, CA",85460,7959
14000US06037101210,"Census Tract 1012.10, Los Angeles, CA",34627,9993
14000US06037101220,"Census Tract 1012.20, Los Angeles, CA",40273,7184
14000US06037101300,"Census Tract 1013, Los Angeles, CA",81076,7284
14000US06037101400,"Census Tract 1014, Los Angeles, CA",68313,9818
14000US06037102103,"Census Tract 1021.03, Los Angeles, CA",81477,10437
14000US06037102104,"Census Tract 1021.04, Los Angeles, CA",74138,7435
14000US06037102105,"Census Tract 1021.05, Los Angeles, CA",47431,7337
14000US06037102107,"Census Tract 1021.07, Los Angeles, CA",76875,25067
14000US06037103101,"Census Tract 1031.01, Los Angeles, CA",72734,14754
14000US06037103102,"Census Tract 1031.02, Los Angeles, CA",71979,9438
14000US06037103200,"Census Tract 1032, Los Angeles, CA",66522,16993
14000US06037103300,"Census Tract 1033, Los Angeles, CA",94306,14073
14000US06037103400,"Census Tract 1034, Los Angeles, CA",76917,17711
14000US06037104103,"Census Tract 1041.03, Los Angeles, CA",83542,18063
14000US06037104105,"Census Tract 1041.05, Los Angeles, CA",39693,9791
14000US06037104108,"Census Tract 1041.08, Los Angeles, CA",44672,5665
14000US06037104124,"Census Tract 1041.24, Los Angeles, CA",81078,9573
14000US06037104201,"Census Tract 1042.01, Los Angeles, CA",50968,8224
14000US06037104203,"Census Tract 1042.03, Los Angeles, CA",41830,12703
14000US06037104204,"Census Tract 1042.04, Los Angeles, CA",47708,16268
14000US06037104310,"Census Tract 1043.10, Los Angeles, CA",68413,12700
14000US06037104320,"Census Tract 1043.20, Los Angeles, CA",46972,6720
14000US06037104401,"Census Tract 1044.01, Los Angeles, CA",70147,14484
14000US06037104403,"Census Tract 1044.03, Los Angeles, CA",56250,14847
14000US06037104404,"Census Tract 1044.04, Los Angeles, CA",54242,6761
14000US06037104500,"Census Tract 1045, Los Angeles, CA",56875,17030
14000US06037104610,"Census Tract 1046.10, Los Angeles, CA",58049,6009
14000US06037104620,"Census Tract 1046.20, Los Angeles, CA",53173,8297
14000US06037104701,"Census Tract 1047.01, Los Angeles, CA",27917,4283
14000US06037104703,"Census Tract 1047.03, Los Angeles, CA",40921,8205
14000US06037104704,"Census Tract 1047.04, Los Angeles, CA",53145,11519
14000US06037104810,"Census Tract 1048.10, Los Angeles, CA",68250,9821
14000US06037104821,"Census Tract 1048.21, Los Angeles, CA",52625,9820
14000US06037104822,"Census Tract 1048.22, Los Angeles, CA",51048,20669
14000US06037106010,"Census Tract 1060.10, Los Angeles, CA",73650,19642
14000US06037106020,"Census Tract 1060.20, Los Angeles, CA",74286,7468
14000US06037106111,"Census Tract 1061.11, Los Angeles, CA",90031,17353
14000US06037106112,"Census Tract 1061.12, Los Angeles, CA",84932,8262
14000US06037106113,"Census Tract 1061.13, Los Angeles, CA",77467,14922
14000US06037106114,"Census Tract 1061.14, Los Angeles, CA",50781,13651
14000US06037106403,"Census Tract 1064.03, Los Angeles, CA",64631,5251
14000US06037106405,"Census Tract 1064.05, Los Angeles, CA",54688,10868
14000US06037106406,"Census Tract 1064.06, Los Angeles, CA",79537,11770
